pc11_state_id,pc11_district_id,pc11_subdistrict_id,facebook_pop_sum,facebook_pop_num_cells
24,485,03891,531743.234618465,41036.1301430337
24,485,03892,409853.5918186746,33519.21030694802
24,485,03893,689163.5329520552,29520.25091606378
24,485,03894,191870.1624687604,11415.786013231193
24,485,03895,324474.26194780774,31437.91460009048
24,485,03896,228620.6395974687,16898.18198348931
24,486,03897,235019.4584470426,27361.310499563348
24,486,03898,2171726.9230404724,95253.59887700496
24,486,03899,182512.2770653415,17438.474640521992
24,486,03900,279986.79601602,27516.09112199273
24,486,03901,250826.99252988063,34769.357008797524
24,486,03902,240468.5634102499,26056.26111628568
24,486,03903,204750.4808751032,12403.88530686596
24,486,03904,204663.03217416123,16255.174405643873
24,486,03905,211685.66064030147,14356.03432095032
24,486,03906,286540.21843710874,20153.161008554413
24,486,03907,204980.5423676729,15165.252960401363
24,486,03908,88914.29370818073,5554.687677321956
24,487,03909,76843.73926205568,3564.8093886459246
24,487,03910,284736.7801997219,17803.57962880566
24,487,03911,201191.0660578596,13668.32162668882
