pc11_district_id,pc11_state_id,facebook_pop_sum,facebook_pop_num_cells
525,27,1876020.066641325,144431.33225736313
526,27,4709795.50614269,404869.6994038468
527,27,3106744.2336353166,305446.7780911542
528,27,1522153.1377661177,165194.17596787855
529,27,815621.0396288654,96082.7760449486
530,27,3957230.344825576,276580.6868872563
531,27,3143119.212840858,287555.9349450512
370,21,1501414.7888498243,96924.76597346568
371,21,625211.1060845747,55997.30675017842
372,21,1201652.5856132498,116864.50651659332
373,21,349053.39302370907,38716.055453174326
374,21,2295874.3946738094,230236.84839547827
375,21,2036722.246687396,177718.19502124964
376,21,2798478.664837014,218423.9487453181
377,21,2483108.2294769287,93058.8226194699
378,21,1594487.4929198122,45650.729089436696
379,21,1651485.632362204,43265.8069051236
380,21,1231929.0307640175,42951.91944694472
381,21,2786719.3620783,105238.35714657432
382,21,2043222.8712297291,68431.22141422046
383,21,1363111.5908707103,82553.04753915014
384,21,1359019.9051837102,135957.5559054556
385,21,1048990.8245947517,53747.76469813568
386,21,2533133.071864076,125216.8412359879
387,21,1834611.8482978584,66915.3773099327
388,21,3809073.86204241,154630.20548132207
389,21,629661.2744270525,32486.71942996286
390,21,820031.437250698,82824.03083795926
391,21,516148.0963317802,40439.55460469052
392,21,646300.7279941288,39225.68265867354
393,21,1967736.586570358,113177.27450034115
394,21,711084.9997928194,64972.86404040952
395,21,1824220.409237284,114514.06474081684
396,21,1102925.507336785,54944.9927144791
397,21,1388224.3515207153,95778.72144188674
398,21,1524449.8720612542,83181.9936320124
399,21,737395.2534645462,55229.56746549861
634,34,43347.33078695584,1323.5806131887184
635,34,1122024.1480554289,47956.73727440299
636,34,42860.32798374108,2905.975326662403
637,34,227817.18715655725,18592.1756246204
035,03,2474464.3808981422,267801.70840195246
036,03,813005.4371614472,118426.27443820063
037,03,2413463.442940674,300940.6743617726
038,03,1684743.07612075,260200.79185248623
039,03,624913.3468224953,118793.11132851108
040,03,620939.3353391994,70780.87606964947
041,03,3856997.002539312,411002.6064428219
042,03,1010911.7341951476,150378.22472143135
043,03,2195965.5903509613,288930.15077352093
044,03,1107958.970030373,137112.69400987535
045,03,653148.097987371,96995.38450957256
046,03,1649710.2966489517,200364.46685292813
047,03,735544.733900285,116547.59095724078
048,03,2177812.099011376,237920.6222569573
049,03,2728615.9331026603,261559.6596916745
050,03,1269803.3648020488,165370.840290922
051,03,673380.9163206341,99168.18330013844
052,03,1857793.0281284293,157809.17190915332
053,03,1808089.5988697887,231712.30010910836
054,03,680195.0511703334,84420.24090613911
099,08,2149376.2138285204,373423.0928134088
100,08,1979482.0065842348,307008.10773770727
101,08,3025308.230241233,359005.0897130481
102,08,2174872.194629422,291588.3539817654
103,08,2419312.356320414,400003.7541616682
104,08,4385761.649074262,384252.9715384074
